Timestamp;HEX1_Ta_inlet (degC (Ave));HEX1_Ta_outlet (degC (Ave));HEX1_v_outlet (m/s)
21/05/2024 12:20;24.6811768;21.3997308;0.6981118
21/05/2024 12:25;23.1593424;21.3982716;0.7163648
21/05/2024 12:30;23.332912;21.466316;0.708521
21/05/2024 12:45;24.8217935;21.445429;0.72756375
21/05/2024 12:50;21.6716088;21.4899612;0.7239432
21/05/2024 12:55;23.0415664;21.5326136;0.7298366
21/05/2024 13:00;21.896242;21.525978;0.760873
21/05/2024 13:15;22.515566;21.572568;0.719084
21/05/2024 13:20;22.2903592;21.6351216;0.7319264
21/05/2024 13:25;23.2976832;21.63974;0.7457332
21/05/2024 13:30;23.339782;21.619534;0.76387
21/05/2024 13:45;24.7209935;21.7937025;0.72903375
21/05/2024 13:50;24.2199076;21.8011604;0.7194714
21/05/2024 13:55;24.760608;21.9082384;0.7098762
21/05/2024 14:00;24.739594;21.89765;0.731067
21/05/2024 14:15;25.234502;22.0031945;0.71435275
21/05/2024 14:20;24.3753784;21.966398;0.734288
21/05/2024 14:25;25.2132492;22.0722152;0.7184098
21/05/2024 14:30;24.100662;22.052136;0.738026
21/05/2024 14:45;26.9189555;22.170022;0.71387475
21/05/2024 14:50;25.9998164;22.1556864;0.7028636
21/05/2024 14:55;25.7204436;22.1982808;0.7103114
21/05/2024 15:00;24.83271;22.198944;0.748478
21/05/2024 15:15;25.4201435;22.2802315;0.71978525
21/05/2024 15:20;24.9501972;22.2848468;0.7159366
21/05/2024 15:25;25.3815936;22.3076292;0.7190926
21/05/2024 15:30;24.163024;22.327136;0.694803
21/05/2024 15:45;23.719547;22.3090635;0.73892625
21/05/2024 15:50;24.8174784;22.3343812;0.7396928
21/05/2024 15:55;25.4633924;22.3263416;0.7428574
21/05/2024 16:00;26.666518;22.366236;0.711472
21/05/2024 16:15;22.918559;22.373821;0.75093075
21/05/2024 16:20;23.2486256;22.4658376;0.7394986
21/05/2024 16:25;23.4577616;22.44217;0.7348638
21/05/2024 16:30;24.094486;22.42715;0.742078
21/05/2024 16:45;23.0386915;22.3670745;0.74085875
21/05/2024 16:50;22.6712096;22.3870668;0.7521324
