Timestamp;TZ;HEX1_Ta_inlet (degC (Ave));HEX1_Ta_outlet (degC (Ave));HEX1_v_outlet (m/s)
22/06/2024 11:55;;26.226374;21.5822252;0.5757736
22/06/2024 12:00;;26.06448;21.597778;0.635012
22/06/2024 12:15;;26.8220875;21.607801;0.59888875
22/06/2024 12:20;;26.5675584;21.6534952;0.5687892
22/06/2024 12:25;;25.5758028;21.6414032;0.6230144
22/06/2024 12:30;;25.819958;21.616458;0.607015
22/06/2024 12:45;;26.6338875;21.791838;0.59980375
22/06/2024 12:50;;25.9836896;21.8070664;0.586314
22/06/2024 12:55;;27.7622088;21.8299996;0.5756646
22/06/2024 13:00;;26.068814;21.82631;0.592232
22/06/2024 13:15;;26.760054;21.8927375;0.64390525
22/06/2024 13:20;;27.1085276;21.9180776;0.5961008
22/06/2024 13:25;;27.2424676;21.984674;0.5756502
22/06/2024 13:30;;26.717742;21.985416;0.604422
22/06/2024 13:45;;27.7403355;22.158517;0.581069
22/06/2024 13:50;;26.0154564;22.1482764;0.6210114
22/06/2024 13:55;;27.4629432;22.2360244;0.584841
22/06/2024 14:00;;29.72941;22.176452;0.586928
22/06/2024 14:15;;27.8273725;22.3190755;0.585993
22/06/2024 14:20;;28.6331008;22.376212;0.577674
22/06/2024 14:25;;29.0853488;22.424562;0.5783012
22/06/2024 14:30;;28.224022;22.521732;0.599754
22/06/2024 14:45;;27.4378955;22.450914;0.604194
22/06/2024 14:50;;28.7637924;22.5357636;0.5649464
22/06/2024 14:55;;27.8327256;22.567476;0.5637004
22/06/2024 15:00;;29.233716;22.655746;0.560355
22/06/2024 15:15;;26.856672;22.7295235;0.586655
22/06/2024 15:20;;29.0920532;22.7748084;0.5625776
22/06/2024 15:25;;30.2706676;22.8105016;0.5565972
22/06/2024 15:30;;27.530182;22.86536;0.571186
22/06/2024 15:45;;26.367137;22.952366;0.583707
22/06/2024 15:50;;25.9925052;22.9983324;0.5713246
22/06/2024 15:55;;26.6624;22.9726044;0.5538574
22/06/2024 16:00;;25.538228;23.033912;0.620311
22/06/2024 16:15;;26.564957;23.2173915;0.576561
22/06/2024 16:20;;25.771154;23.2509968;0.5985068
22/06/2024 16:25;;25.9388284;23.3170708;0.5929744
22/06/2024 16:30;;26.056202;23.333862;0.580552
22/06/2024 16:45;;25.125443;23.595198;0.5946235
22/06/2024 16:50;;26.1591824;23.6818436;0.5726326
22/06/2024 16:55;;25.342312;23.6956648;0.5863212
22/06/2024 17:00;;25.664574;23.671428;0.595688
22/06/2024 17:15;;25.353673;23.9618195;0.60306975
22/06/2024 17:20;;26.183942;23.9661612;0.5665062
22/06/2024 17:25;;27.4387708;24.0471908;0.5680718
22/06/2024 17:30;;26.713574;24.078414;0.574612
22/06/2024 17:45;;25.021429;24.4385985;0.58328575
22/06/2024 17:50;;24.9093704;24.4623416;0.5871728
22/06/2024 17:55;;24.9447572;24.5703204;0.5946356
22/06/2024 18:00;;24.773464;24.580158;0.575489
22/06/2024 18:15;;24.7874665;24.5553415;0.6003595
22/06/2024 18:20;;25.2116384;24.6300364;0.5752422
22/06/2024 18:25;;25.3401444;24.6198196;0.5958796
22/06/2024 18:30;;25.274242;24.71535;0.616031
22/06/2024 18:45;;25.4224375;24.5783365;0.5698265
22/06/2024 18:50;;25.5654032;24.589652;0.5590822
22/06/2024 18:55;;25.0987624;24.6031228;0.5749154
22/06/2024 19:00;;24.989822;24.539936;0.568137
22/06/2024 19:15;;24.3764975;24.6768915;0.581356
22/06/2024 19:20;;24.4158284;24.675164;0.5651994
22/06/2024 19:25;;23.9259004;24.6969868;0.5658446
22/06/2024 19:30;;23.361804;24.64118;0.575879
22/06/2024 19:45;;23.3407765;24.644313;0.5546565
22/06/2024 19:50;;22.7601988;24.6242096;0.5532874
22/06/2024 19:55;;22.5056948;24.5982532;0.5625888
22/06/2024 20:00;;22.522004;24.562658;0.552796
22/06/2024 20:15;;22.34501;24.2975015;0.5785165
22/06/2024 20:20;;22.4761316;24.27927;0.562915
22/06/2024 20:25;;22.434992;24.1971252;0.5710268
22/06/2024 20:30;;22.48637;24.195162;0.585315
22/06/2024 20:45;;22.8152265;24.101734;0.5677555
22/06/2024 20:50;;22.5196396;24.0895752;0.5658124
22/06/2024 20:55;;22.0953616;24.0603864;0.5767116
22/06/2024 21:00;;21.755542;24.034612;0.564294
22/06/2024 21:15;;21.333129;23.8229565;0.56543325
22/06/2024 21:20;;20.692328;23.7216448;0.5659518
22/06/2024 21:25;;19.9470736;23.568654;0.5668462
22/06/2024 21:30;;19.781262;23.485646;0.558423
22/06/2024 21:45;;20.178269;23.9214525;0.55577225
22/06/2024 21:50;;19.9759376;23.8590052;0.5562352
22/06/2024 21:55;;19.5549908;23.7388064;0.571696
22/06/2024 22:00;;19.230004;23.669442;0.574301
22/06/2024 22:15;;19.2201275;22.505928;0.57512525
22/06/2024 22:20;;19.10781;22.3558252;0.566098
22/06/2024 22:25;;18.7946248;22.2735576;0.5703292
22/06/2024 22:30;;18.72065;22.179074;0.582058
22/06/2024 22:45;;18.3340175;21.7522575;0.58188225
22/06/2024 22:50;;18.3524144;21.709262;0.577865
22/06/2024 22:55;;17.8980084;21.5453;0.5662238
22/06/2024 23:00;;18.03757;21.522526;0.552925
22/06/2024 23:15;;18.007947;21.1552585;0.56977875
22/06/2024 23:20;;17.6677788;21.0166668;0.5797972
22/06/2024 23:25;;17.3689096;20.8598536;0.5926688
22/06/2024 23:30;;17.126708;20.760662;0.605581
22/06/2024 23:45;;17.106692;20.4599545;0.572306
22/06/2024 23:50;;17.2186812;20.3289968;0.5775644
22/06/2024 23:55;;17.4506948;20.3528464;0.5700844
23/06/2024 00:00;;17.460102;20.340454;0.588336
23/06/2024 00:15;;17.484051;20.352136;0.5783175
23/06/2024 00:20;;17.5514804;20.443734;0.5736624
23/06/2024 00:25;;17.60353;20.582534;0.559675
23/06/2024 00:30;;17.650766;20.54912;0.559955
23/06/2024 00:45;;17.346824;20.757549;0.58314225
23/06/2024 00:50;;17.7823972;20.7512488;0.5987128
23/06/2024 00:55;;18.0375036;20.8672444;0.592254
23/06/2024 01:00;;17.84604;20.856854;0.604814
23/06/2024 01:15;;17.780732;20.9059615;0.597733
23/06/2024 01:20;;17.5516968;20.9047836;0.6572322
23/06/2024 01:25;;17.5118076;20.9333952;0.664221
23/06/2024 01:30;;17.321826;20.873992;0.662778
23/06/2024 01:45;;17.447556;20.892852;0.58104125
23/06/2024 01:50;;17.4959944;20.8727216;0.5854548
23/06/2024 01:55;;17.4688892;20.9250384;0.6283392
23/06/2024 02:00;;17.332374;20.979698;0.600427
23/06/2024 02:15;;17.2839025;20.967432;0.58784775
23/06/2024 02:20;;17.3261756;20.8888024;0.5933432
23/06/2024 02:25;;17.3037068;20.89741;0.5902332
23/06/2024 02:30;;17.367962;20.954794;0.595225
23/06/2024 02:45;;17.5122315;21.0226725;0.59025925
23/06/2024 02:50;;17.555994;20.9568604;0.5911178
23/06/2024 02:55;;17.4810572;20.956634;0.5764788
23/06/2024 03:00;;17.506252;20.951488;0.593989
23/06/2024 03:15;;17.023992;20.9345635;0.5936015
23/06/2024 03:20;;16.9495752;20.9127544;0.5772732
23/06/2024 03:25;;16.7937192;20.8597192;0.6030844
23/06/2024 03:30;;16.703556;20.808842;0.606265
23/06/2024 03:45;;16.603952;20.824694;0.57657575
23/06/2024 03:50;;16.5987472;20.7845568;0.5831464
23/06/2024 03:55;;16.568024;20.829736;0.599933
23/06/2024 04:00;;16.503738;20.800138;0.624838
23/06/2024 04:15;;16.5223345;20.6977365;0.59681775
23/06/2024 04:20;;16.5612112;20.8147864;0.5875554
23/06/2024 04:25;;16.535338;20.7502548;0.5878466
23/06/2024 04:30;;16.436642;20.782128;0.583325
23/06/2024 04:45;;16.6107515;20.6808185;0.57932275
23/06/2024 04:50;;16.6874416;20.6878652;0.581559
23/06/2024 04:55;;16.666428;20.7514304;0.5755612
23/06/2024 05:00;;16.695752;20.698768;0.607536
23/06/2024 05:15;;16.7592005;20.503125;0.5821695
23/06/2024 05:20;;16.8979772;20.5774016;0.5772266
23/06/2024 05:25;;16.4330844;20.5387768;0.5698286
23/06/2024 05:30;;16.382942;20.554538;0.559047
23/06/2024 05:45;;16.293281;20.425383;0.580307
23/06/2024 05:50;;16.3819464;20.4889876;0.578132
23/06/2024 05:55;;16.41576;20.4974688;0.5782108
23/06/2024 06:00;;16.338952;20.456002;0.581149
23/06/2024 06:15;;16.18066;20.4293185;0.5733635
23/06/2024 06:20;;16.165038;20.3649456;0.582614
23/06/2024 06:25;;16.1423724;20.4217356;0.5816102
23/06/2024 06:30;;15.986228;20.391048;0.561792
23/06/2024 06:45;;15.897189;20.235971;0.57900375
23/06/2024 06:50;;15.7420976;20.1869744;0.5828158
23/06/2024 06:55;;15.4130952;20.2032948;0.5752544
23/06/2024 07:00;;15.334204;20.155672;0.566697
23/06/2024 07:15;;15.6972005;20.129646;0.5730125
23/06/2024 07:20;;15.5106208;20.0444272;0.576887
23/06/2024 07:25;;15.5427716;20.017426;0.5791256
23/06/2024 07:30;;15.694304;19.954398;0.577157
23/06/2024 07:45;;15.637092;19.9205595;0.5853265
23/06/2024 07:50;;15.6701072;19.9090404;0.5848828
23/06/2024 07:55;;15.6190476;19.8685904;0.5814686
23/06/2024 08:00;;15.635328;19.871026;0.588669
23/06/2024 08:15;;15.584676;19.923256;0.59002
23/06/2024 08:20;;15.8930888;19.8848948;0.5857612
23/06/2024 08:25;;15.6338608;19.9031212;0.5832634
23/06/2024 08:30;;16.126218;19.77575;0.595437
23/06/2024 08:45;;16.585833;19.78549;0.574754
23/06/2024 08:50;;16.7490672;19.7889192;0.5828606
23/06/2024 08:55;;15.7487384;19.7059508;0.593155
23/06/2024 09:00;;15.55142;19.649782;0.590633
23/06/2024 09:15;;16.001241;19.57672;0.5824405
23/06/2024 09:20;;15.8225316;19.5426804;0.590974
23/06/2024 09:25;;15.5923716;19.4721584;0.5724034
23/06/2024 09:30;;15.533128;19.379878;0.563917
23/06/2024 09:45;;15.2626315;19.515987;0.59625775
23/06/2024 09:50;;14.4254356;19.4399188;0.589596
23/06/2024 09:55;;14.0535844;19.4319692;0.5971238
23/06/2024 10:00;;13.89019;19.284278;0.627951
23/06/2024 10:15;;14.302408;19.2697545;0.59180825
23/06/2024 10:20;;14.5035308;19.2452856;0.602856
23/06/2024 10:25;;14.4445988;19.2187432;0.5928084
23/06/2024 10:30;;14.416918;19.200756;0.597188
23/06/2024 10:45;;14.155601;19.202445;0.62381875
23/06/2024 10:50;;14.260432;19.2005676;0.5894416
23/06/2024 10:55;;14.1785108;19.2011476;0.580831
23/06/2024 11:00;;14.455476;19.174202;0.59332
23/06/2024 11:15;;15.28171;19.05044;0.56883025
23/06/2024 11:20;;16.4534056;19.0886044;0.5906672
23/06/2024 11:25;;17.0802072;19.0553868;0.583379
23/06/2024 11:30;;17.871114;19.0337;0.583795
23/06/2024 11:45;;16.921307;18.9581505;0.5753305
23/06/2024 11:50;;15.9285168;18.9398148;0.5755412
23/06/2024 11:55;;16.4744112;18.9149984;0.591953
23/06/2024 12:00;;16.968074;18.928896;0.595368
23/06/2024 12:15;;17.2339515;18.909751;0.5911065
23/06/2024 12:20;;17.2612428;18.8636256;0.5818192
23/06/2024 12:25;;17.1386248;18.878748;0.5873852
23/06/2024 12:30;;16.964252;18.864304;0.608664
23/06/2024 12:45;;15.2324245;18.9065385;0.57916075
23/06/2024 12:50;;15.7120828;18.9135028;0.5794488
23/06/2024 12:55;;15.2325212;18.9479288;0.5792586
23/06/2024 13:00;;14.987454;18.851988;0.606918
23/06/2024 13:15;;16.466722;18.8879095;0.57857025
23/06/2024 13:20;;16.3898308;18.872102;0.5810162
23/06/2024 13:25;;16.7616696;18.8594044;0.5787864
23/06/2024 13:30;;16.941532;18.85609;0.598834
23/06/2024 13:45;;18.0660745;18.8208285;0.58292
23/06/2024 13:50;;17.7717612;18.8959596;0.5910178
23/06/2024 13:55;;17.5040424;18.8490868;0.5949154
23/06/2024 14:00;;18.32476;18.759192;0.587617
23/06/2024 14:15;;16.4958225;18.8038425;0.5748785
23/06/2024 14:20;;15.8966952;18.8193472;0.5877942
23/06/2024 14:25;;15.8219388;18.808818;0.5822334
23/06/2024 14:30;;16.001082;18.684196;0.59509
23/06/2024 14:45;;16.286841;18.702062;0.58193775
23/06/2024 14:50;;16.4393796;18.64467;0.5925812
23/06/2024 14:55;;16.3391032;18.6157028;0.5837716
23/06/2024 15:00;;15.884756;18.666602;0.590354
23/06/2024 15:15;;14.2298775;18.546609;0.58467425
23/06/2024 15:20;;14.2731944;18.5357432;0.5776822
23/06/2024 15:25;;14.1249924;18.461068;0.5946624
23/06/2024 15:30;;14.28582;18.500116;0.575132
23/06/2024 15:45;;14.3535305;18.3329225;0.588713
23/06/2024 15:50;;14.4161876;18.3538896;0.5891344
23/06/2024 15:55;;14.3863148;18.3364188;0.5877682
23/06/2024 16:00;;14.522426;18.246744;0.559967
23/06/2024 16:15;;14.505154;18.1842785;0.587366
23/06/2024 16:20;;14.7576704;18.1870724;0.5713438
23/06/2024 16:25;;14.6198796;18.1769904;0.5890334
23/06/2024 16:30;;14.53007;18.16975;0.597377
23/06/2024 16:45;;14.7048665;18.161423;0.594077
23/06/2024 16:50;;14.9025384;18.1412452;0.590593
23/06/2024 16:55;;14.6999012;18.0989916;0.5904584
23/06/2024 17:00;;15.155026;18.079602;0.560997
23/06/2024 17:15;;14.708195;18.0167955;0.59291275
23/06/2024 17:20;;14.893936;18.046178;0.5979224
23/06/2024 17:25;;15.6934488;17.9624492;0.5997816
23/06/2024 17:30;;15.853372;17.998086;0.59018
23/06/2024 17:45;;15.627493;17.9521085;0.59102725
23/06/2024 17:50;;15.636754;17.9556912;0.6058214
23/06/2024 17:55;;15.8814592;17.954322;0.5836922
23/06/2024 18:00;;15.823784;17.893936;0.555625
23/06/2024 18:15;;15.4739525;17.885719;0.59805725
23/06/2024 18:20;;15.4501352;17.802048;0.5939952
23/06/2024 18:25;;15.6238804;17.7997964;0.5763924
23/06/2024 18:30;;15.487292;17.853984;0.590754
23/06/2024 18:45;;15.601204;17.828239;0.5884935
23/06/2024 18:50;;15.3961588;17.8298508;0.5899308
23/06/2024 18:55;;15.4637188;17.80372;0.5924232
23/06/2024 19:00;;15.312116;17.809544;0.589924
23/06/2024 19:15;;14.95973;17.7421105;0.6012305
23/06/2024 19:20;;15.1862048;17.720116;0.5948412
23/06/2024 19:25;;15.557978;17.69567;0.5924462
23/06/2024 19:30;;15.48803;17.69825;0.581616
23/06/2024 19:45;;14.970594;17.6111675;0.5865735
23/06/2024 19:50;;15.3198164;17.6143952;0.5939376
23/06/2024 19:55;;15.5156916;17.6217556;0.6041828
23/06/2024 20:00;;15.523046;17.605244;0.593465
23/06/2024 20:15;;15.218864;17.393555;0.5917755
23/06/2024 20:20;;15.205026;17.39219;0.5917398
23/06/2024 20:25;;15.380336;17.3830944;0.6010332
23/06/2024 20:30;;15.384916;17.33715;0.609131
23/06/2024 20:45;;16.01022;17.4112485;0.59631675
23/06/2024 20:50;;15.9680408;17.402418;0.6050468
23/06/2024 20:55;;16.086548;17.40988;0.5963342
23/06/2024 21:00;;16.069322;17.388116;0.579745
23/06/2024 21:15;;15.597122;17.4800465;0.58946625
23/06/2024 21:20;;15.7106256;17.4695016;0.5842232
23/06/2024 21:25;;15.8670408;17.4342164;0.5936636
23/06/2024 21:30;;15.97225;17.453082;0.586257
23/06/2024 21:45;;15.7628275;17.346412;0.593717
23/06/2024 21:50;;15.825394;17.336952;0.5916112
23/06/2024 21:55;;15.7356044;17.3213104;0.593254
23/06/2024 22:00;;15.887502;17.400002;0.611797
23/06/2024 22:15;;15.682967;17.3432235;0.586115
23/06/2024 22:20;;15.686578;17.3298232;0.5861816
23/06/2024 22:25;;15.66378;17.3219216;0.5869972
23/06/2024 22:30;;15.710996;17.358062;0.593766
23/06/2024 22:45;;15.6334325;17.2370955;0.5903395
23/06/2024 22:50;;15.573908;17.2118468;0.6004018
23/06/2024 22:55;;15.4763756;17.195422;0.5901668
23/06/2024 23:00;;15.450756;17.140174;0.607224
23/06/2024 23:15;;15.395175;17.120474;0.59780675
23/06/2024 23:20;;15.4494612;17.1464272;0.599768
23/06/2024 23:25;;15.6401644;17.115646;0.5957076
