Time (s),T_air_outlet (°C)
2023-12-20 07:25:00,-8.623109776380467e+69
2023-12-20 07:30:00,-1.1341770211893376e+71
2023-12-20 07:45:00,-1.5104903575782028e+72
2023-12-20 07:50:00,-2.0073700139165268e+73
2023-12-20 07:55:00,-2.6690901544015034e+74
2023-12-20 08:00:00,-3.547300517472194e+75
2023-12-20 08:15:00,-4.718639400852042e+76
2023-12-20 08:20:00,-6.27831286336007e+77
2023-12-20 08:25:00,-8.302777147816697e+78
2023-12-20 08:30:00,-1.1058436828855478e+80
2023-12-20 08:45:00,-1.4798259485042916e+81
2023-12-20 08:50:00,-1.962624473748192e+82
2023-12-20 08:55:00,-2.614571960634376e+83
2023-12-20 09:00:00,-3.5109831330409353e+84
2023-12-20 09:15:00,-4.6607341469125955e+85
2023-12-20 09:20:00,-6.15868838461326e+86
2023-12-20 09:25:00,-8.144229334068932e+87
2023-12-20 09:30:00,-1.0634450809651307e+89
2023-12-20 09:45:00,-1.4135145632530703e+90
2023-12-20 09:50:00,-1.875082589608416e+91
2023-12-20 09:55:00,-2.480121785733639e+92
2023-12-20 10:00:00,-3.264489187548453e+93
2023-12-20 10:15:00,-4.3052189474256945e+94
2023-12-20 10:20:00,-5.644888602928495e+95
2023-12-20 10:25:00,-7.494882551641199e+96
2023-12-20 10:30:00,-1.01009737014607e+98
2023-12-20 10:45:00,-1.3441637795308952e+99
2023-12-20 10:50:00,-1.7911683485377907e+100
2023-12-20 10:55:00,-2.3306412378982277e+101
2023-12-20 11:00:00,-3.033278487214421e+102
2023-12-20 11:15:00,-4.01643909623373e+103
2023-12-20 11:20:00,-5.2702360658070295e+104
2023-12-20 11:25:00,-6.922115974071154e+105
2023-12-20 11:30:00,-9.029810412030452e+106
2023-12-20 11:45:00,-1.2123702734457183e+108
2023-12-20 11:50:00,-1.6076213140323352e+109
2023-12-20 11:55:00,-2.1358623990107376e+110
2023-12-20 12:00:00,-2.887317621488884e+111
2023-12-20 12:15:00,-3.878202528081106e+112
2023-12-20 12:20:00,-5.234988809760544e+113
2023-12-20 12:25:00,-7.135186600196039e+114
2023-12-20 12:30:00,-9.582559860611074e+115
2023-12-20 12:45:00,-1.3064591645531827e+117
2023-12-20 12:50:00,-1.7852237263931093e+118
2023-12-20 12:55:00,-2.543879628476202e+119
2023-12-20 13:00:00,-3.683691645293136e+120
2023-12-20 13:15:00,-5.154017749199143e+121
2023-12-20 13:20:00,-7.500119166381176e+122
2023-12-20 13:25:00,-1.0564208881134606e+124
2023-12-20 13:30:00,-1.5789324798604543e+125
2023-12-20 13:45:00,-2.309905389036387e+126
2023-12-20 13:50:00,-3.3594687889885427e+127
2023-12-20 13:55:00,-4.702854873756564e+128
2023-12-20 14:00:00,-6.854331495316158e+129
2023-12-20 14:15:00,-9.936638383746835e+130
2023-12-20 14:20:00,-1.4598286060368227e+132
2023-12-20 14:25:00,-2.1892690843626787e+133
2023-12-20 14:30:00,-3.207915613296338e+134
2023-12-20 14:45:00,-4.850226326891936e+135
2023-12-20 14:50:00,-7.2368408369014e+136
2023-12-20 14:55:00,-1.0712432120354795e+138
2023-12-20 15:00:00,-1.5610905865108096e+139
2023-12-20 15:15:00,-2.334981889393764e+140
2023-12-20 15:20:00,-3.5001963663937376e+141
2023-12-20 15:25:00,-5.140572428905739e+142
2023-12-20 15:30:00,-7.54912270709155e+143
2023-12-20 15:45:00,-1.1182431423423961e+145
2023-12-20 15:50:00,-1.6429879791574854e+146
2023-12-20 15:55:00,-2.3764333933184854e+147
2023-12-20 16:00:00,-3.449086863015165e+148
2023-12-20 16:15:00,-4.934105247289432e+149
2023-12-20 16:20:00,-6.875468153954287e+150
2023-12-20 16:25:00,-9.783996153815157e+151
2023-12-20 16:30:00,-1.3511781068296752e+153
2023-12-20 16:45:00,-1.806713421147581e+154
2023-12-20 16:50:00,-2.4311592853120732e+155
2023-12-20 16:55:00,-3.2480885320816033e+156
2023-12-20 17:00:00,-4.35223899202464e+157
2023-12-20 17:15:00,-5.874611122096028e+158
2023-12-20 17:20:00,-7.857427961805252e+159
2023-12-20 17:25:00,-1.0439592777676095e+161
2023-12-20 17:30:00,-1.3839728504622938e+162
2023-12-20 17:45:00,-1.853618261601241e+163
2023-12-20 17:50:00,-2.4609352992133415e+164
2023-12-20 17:55:00,-3.2400843501991963e+165
2023-12-20 18:00:00,-4.284134774996404e+166
2023-12-20 18:15:00,-5.704718901089387e+167
2023-12-20 18:20:00,-7.557858410020262e+168
2023-12-20 18:25:00,-9.996659989974809e+169
2023-12-20 18:30:00,-1.3218531105098803e+171
2023-12-20 18:45:00,-1.7625732020760564e+172
2023-12-20 18:50:00,-2.3108819944242357e+173
2023-12-20 18:55:00,-3.04504065014505e+174
2023-12-20 19:00:00,-4.027906010809809e+175
2023-12-20 19:15:00,-5.198707797042053e+176
2023-12-20 19:20:00,-6.6376288254652515e+177
2023-12-20 19:25:00,-8.845662659624679e+178
2023-12-20 19:30:00,-1.160705338421116e+180
2023-12-20 19:45:00,-1.5298168107509985e+181
2023-12-20 19:50:00,-2.0061773612589745e+182
2023-12-20 19:55:00,-2.643083517680014e+183
2023-12-20 20:00:00,-3.469735201983062e+184
2023-12-20 20:15:00,-4.5639688407387044e+185
2023-12-20 20:20:00,-5.990641904504569e+186
2023-12-20 20:25:00,-7.903589763473586e+187
2023-12-20 20:30:00,-1.0191531862389854e+189
2023-12-20 20:45:00,-1.3349720287368498e+190
2023-12-20 20:50:00,-1.750513063915764e+191
2023-12-20 20:55:00,-2.289488290302423e+192
2023-12-20 21:00:00,-2.997054019196605e+193
2023-12-20 21:15:00,-3.9872540007507955e+194
2023-12-20 21:20:00,-5.311226007557539e+195
2023-12-20 21:25:00,-6.961533883794228e+196
2023-12-20 21:30:00,-9.14769654408621e+197
2023-12-20 21:45:00,-1.2032058353894872e+199
2023-12-20 21:50:00,-1.5861914859386553e+200
2023-12-20 21:55:00,-2.088181840162444e+201
2023-12-20 22:00:00,-2.7972348368921286e+202
2023-12-20 22:15:00,-3.691144540000705e+203
2023-12-20 22:20:00,-4.8534727517967966e+204
2023-12-20 22:25:00,-6.3490055894206375e+205
2023-12-20 22:30:00,-8.291061203518698e+206
2023-12-20 22:45:00,-1.0901545759692753e+208
2023-12-20 22:50:00,-1.421660046421732e+209
2023-12-20 22:55:00,-1.8568250139377048e+210
2023-12-20 23:00:00,-2.4162262015512035e+211
2023-12-20 23:15:00,-3.2198075823820716e+212
2023-12-20 23:20:00,-4.181827461459479e+213
2023-12-20 23:25:00,-5.56001912145972e+214
2023-12-20 23:30:00,-7.253329055499311e+215
2023-12-20 23:45:00,-9.35379193552176e+216
2023-12-20 23:50:00,-1.2136035476005279e+218
2023-12-20 23:55:00,-1.5915388820838204e+219
2023-12-21 00:00:00,-2.0760319237225043e+220
2023-12-21 00:15:00,-2.691343443109112e+221
2023-12-21 00:20:00,-3.5432050825463506e+222
2023-12-21 00:25:00,-4.679159615272298e+223
2023-12-21 00:30:00,-5.976032030598935e+224
2023-12-21 00:45:00,-7.817102278806703e+225
2023-12-21 00:50:00,-1.0262010661679798e+227
2023-12-21 00:55:00,-1.3251341979736377e+228
2023-12-21 01:00:00,-1.7391279095840253e+229
2023-12-21 01:15:00,-2.2800807135923237e+230
2023-12-21 01:20:00,-2.9812935854461946e+231
2023-12-21 01:25:00,-3.938566419963738e+232
2023-12-21 01:30:00,-5.055089380399821e+233
2023-12-21 01:45:00,-6.639450414051961e+234
2023-12-21 01:50:00,-8.690132400475421e+235
2023-12-21 01:55:00,-1.1312813221896862e+237
2023-12-21 02:00:00,-1.5161687891401013e+238
2023-12-21 02:15:00,-1.9841311938950297e+239
2023-12-21 02:20:00,-2.593008001907862e+240
2023-12-21 02:25:00,-3.352878394327704e+241
2023-12-21 02:30:00,-4.36484858764843e+242
2023-12-21 02:45:00,-5.6659867735135365e+243
2023-12-21 02:50:00,-7.370853533718346e+244
2023-12-21 02:55:00,-9.684230270788537e+245
2023-12-21 03:00:00,-1.2717549178108598e+247
2023-12-21 03:15:00,-1.6672834388355738e+248
2023-12-21 03:20:00,-2.150931799789365e+249
2023-12-21 03:25:00,-2.78479812066896e+250
2023-12-21 03:30:00,-3.681948475225466e+251
2023-12-21 03:45:00,-4.780827961347352e+252
2023-12-21 03:50:00,-6.25568819727736e+253
2023-12-21 03:55:00,-8.055311503209255e+254
2023-12-21 04:00:00,-1.0542861416725725e+256
2023-12-21 04:15:00,-1.367989353960495e+257
2023-12-21 04:20:00,-1.757447030960894e+258
2023-12-21 04:25:00,-2.3068580819871534e+259
2023-12-21 04:30:00,-2.980310661945676e+260
2023-12-21 04:45:00,-3.870810289036079e+261
2023-12-21 04:50:00,-5.0146310757801236e+262
2023-12-21 04:55:00,-6.468124098048646e+263
2023-12-21 05:00:00,-8.188258648812599e+264
2023-12-21 05:15:00,-1.0724251499222932e+266
2023-12-21 05:20:00,-1.414637970392501e+267
2023-12-21 05:25:00,-1.8852801625195563e+268
2023-12-21 05:30:00,-2.49431588548794e+269
2023-12-21 05:45:00,-3.296943418865741e+270
2023-12-21 05:50:00,-4.199858027446825e+271
2023-12-21 05:55:00,-5.484541642009745e+272
2023-12-21 06:00:00,-7.29586387162783e+273
2023-12-21 06:15:00,-9.348049836000674e+274
2023-12-21 06:20:00,-1.2229922354401984e+276
2023-12-21 06:25:00,-1.5948618508228146e+277
2023-12-21 06:30:00,-2.0741783485964934e+278
2023-12-21 06:45:00,-2.694772011709561e+279
2023-12-21 06:50:00,-3.441213830269098e+280
2023-12-21 06:55:00,-4.478742010811914e+281
2023-12-21 07:00:00,-5.768002847579943e+282
2023-12-21 07:15:00,-7.562405149984071e+283
2023-12-21 07:20:00,-9.920237494820469e+284
2023-12-21 07:25:00,-1.2998761817418078e+286
2023-12-21 07:30:00,-1.6453894666772296e+287
2023-12-21 07:45:00,-2.1543885573792457e+288
2023-12-21 07:50:00,-2.8423445317826345e+289
2023-12-21 07:55:00,-3.743221150937897e+290
2023-12-21 08:00:00,-4.9544805359096384e+291
2023-12-21 08:15:00,-6.518626542473549e+292
2023-12-21 08:20:00,-8.5426340698605e+293
2023-12-21 08:25:00,-1.1299164453339385e+295
2023-12-21 08:30:00,-1.4674877741330127e+296
2023-12-21 08:45:00,-1.924338128873027e+297
2023-12-21 08:50:00,-2.5115300385794576e+298
2023-12-21 08:55:00,-3.2557732650149082e+299
2023-12-21 09:00:00,-4.2213942259307577e+300
2023-12-21 09:15:00,-5.498113472245591e+301
2023-12-21 09:20:00,-7.220214433016903e+302
2023-12-21 09:25:00,-9.19375378936909e+303
2023-12-21 09:30:00,-1.171220395018591e+305
2023-12-21 09:45:00,-1.5432367539191963e+306
2023-12-21 09:50:00,-inf
2023-12-21 09:55:00,-inf
2023-12-21 10:00:00,-inf
2023-12-21 10:15:00,-inf
2023-12-21 10:20:00,-inf
2023-12-21 10:25:00,-inf
2023-12-21 10:30:00,-inf
2023-12-21 10:45:00,-inf
2023-12-21 10:50:00,-inf
2023-12-21 10:55:00,-inf
2023-12-21 11:00:00,-inf
2023-12-21 11:15:00,-inf
2023-12-21 11:20:00,-inf
2023-12-21 11:25:00,-inf
2023-12-21 11:30:00,-inf
2023-12-21 11:45:00,-inf
2023-12-21 11:50:00,-inf
2023-12-21 11:55:00,-inf
2023-12-21 12:00:00,-inf
2023-12-21 12:15:00,-inf
2023-12-21 12:20:00,-inf
2023-12-21 12:25:00,-inf
2023-12-21 12:30:00,-inf
2023-12-21 12:45:00,-inf
2023-12-21 12:50:00,-inf
2023-12-21 12:55:00,-inf
2023-12-21 13:00:00,-inf
2023-12-21 13:15:00,-inf
2023-12-21 13:20:00,-inf
2023-12-21 13:25:00,-inf
2023-12-21 13:30:00,-inf
2023-12-21 13:45:00,-inf
2023-12-21 13:50:00,-inf
2023-12-21 13:55:00,-inf
2023-12-21 14:00:00,-inf
2023-12-21 14:15:00,-inf
2023-12-21 14:20:00,-inf
2023-12-21 14:25:00,-inf
2023-12-21 14:30:00,-inf
2023-12-21 14:45:00,-inf
2023-12-21 14:50:00,-inf
2023-12-21 14:55:00,-inf
2023-12-21 15:00:00,-inf
2023-12-21 15:15:00,-inf
2023-12-21 15:20:00,-inf
2023-12-21 15:25:00,-inf
2023-12-21 15:30:00,-inf
2023-12-21 15:45:00,-inf
2023-12-21 15:50:00,-inf
2023-12-21 15:55:00,-inf
2023-12-21 16:00:00,-inf
2023-12-21 16:15:00,-inf
2023-12-21 16:20:00,-inf
2023-12-21 16:25:00,-inf
2023-12-21 16:30:00,-inf
2023-12-21 16:45:00,-inf
2023-12-21 16:50:00,-inf
2023-12-21 16:55:00,-inf
2023-12-21 17:00:00,-inf
2023-12-21 17:15:00,-inf
2023-12-21 17:20:00,-inf
2023-12-21 17:25:00,-inf
2023-12-21 17:30:00,-inf
2023-12-21 17:45:00,-inf
2023-12-21 17:50:00,-inf
2023-12-21 17:55:00,-inf
2023-12-21 18:00:00,-inf
2023-12-21 18:15:00,-inf
2023-12-21 18:20:00,-inf
2023-12-21 18:25:00,-inf
2023-12-21 18:30:00,-inf
2023-12-21 18:45:00,-inf
2023-12-21 18:50:00,-inf
